studentCode,StudentName,modeoftransport,Distance,Emission
1,Gaelan,Car,30,9.83
2,Rodie,Bike,329,0
3,Bettine,Bus,350,90.48
4,Cass,Train,206,41.54
5,Antonella,Bike,403,0
6,Hastie,Bus,134,93.1
7,Maisey,Bus,87,28.66
8,Harman,Motor Bike,29,35.64
9,Cathi,Car,112,27.79
10,Agnola,E-scooter,16,17.63
11,Heddie,Motor Bike,429,67.12
12,Kelbee,Motor Bike,102,72.08
13,Evie,Bus,233,0.22
14,Hube,Car,375,94.44
15,Marshal,Motor Bike,270,69.6
16,Chadd,Train,270,95.05
17,Phil,Car,336,57.44
18,Modestine,Walk,48,0
19,Adoree,Bus,41,97.88
20,Nadean,Bike,389,0
21,Anabel,Train,300,27.22
22,Cornelia,Bike,46,0
23,Maurene,Bike,314,0
24,Gardy,Bus,208,28.6
25,Mariya,Train,294,90.76
26,Joshuah,Bus,88,55.9
27,Brenna,Car,0,24.57
28,Rabi,Bike,76,0
29,Staffard,Bike,45,0
30,Conny,Car,391,64.7
31,Michele,E-scooter,176,26.25
32,Allard,E-scooter,397,60.02
33,Hasty,Car,169,14.79
34,Fenelia,E-scooter,308,23.15
35,Hartley,Bike,448,0
36,Yetty,E-scooter,134,7.99
37,Kalli,Walk,171,0
38,Julia,Motor Bike,96,47.02
39,Sargent,Walk,0,0
40,Salomo,Bike,166,0
41,Reyna,Bus,408,0.36
42,Gretal,Train,61,97.18
43,Caprice,Bus,86,33.2
44,Jewell,E-scooter,1,56.81
45,Pryce,Car,443,51.7
46,Nestor,Bike,499,0
47,Jocko,E-scooter,305,83.14
48,Lyon,Bike,460,0
49,Dorena,Bus,320,20.78
50,Katharine,Bike,430,0
51,Ximenes,Motor Bike,319,23.68
52,Brady,Car,222,51.49
53,Orion,E-scooter,312,0.19
54,Luce,Bus,436,50.93
55,Octavius,Bike,193,0
56,Durante,E-scooter,309,31.59
57,Kalie,Car,171,43.49
58,Sheelagh,Motor Bike,159,82.34
59,Pris,Motor Bike,176,36.82
60,Cullie,Car,319,45.17
61,Dyana,Bike,62,0
62,Gib,Car,198,11.47
63,Veronike,Walk,484,0
64,Barbi,Bus,252,89.72
65,Adan,Walk,263,0
66,Gina,Car,400,7.17
67,Gram,E-scooter,196,17.08
68,Franny,Bike,496,0
69,Thomasa,Bike,410,0
70,Vitia,Bus,73,55.55
71,Vale,Train,218,45.3
72,Kerrin,E-scooter,398,89.24
73,Tabb,Train,322,48.22
74,Clementina,E-scooter,451,75.91
75,Rheba,Car,235,18.66
76,Viv,Car,491,49.02
77,Randie,Walk,253,0
78,Isacco,Walk,378,0
79,Gene,Motor Bike,83,7.67
80,Rickie,Train,98,5.29
81,Geneva,E-scooter,360,23.68
82,Kipp,Train,275,87.39
83,Ulrica,Train,118,19.39
84,Onida,Bike,59,0
85,Griselda,Walk,355,0
86,Dotty,E-scooter,167,76.45
87,Kamila,Train,247,60.57
88,Myriam,Bus,491,68.44
89,Barnett,Train,310,38.77
90,Nanon,Bus,368,52.99
91,Hugh,E-scooter,83,42.39
92,Flora,Walk,9,0
93,Milissent,Car,341,35.51
94,Annelise,Car,206,19.48
95,Cyrillus,E-scooter,384,99.45
96,Wendeline,Walk,381,0
97,Angus,E-scooter,51,65.61
98,Raoul,Walk,425,0
99,Camila,Bus,218,50.82
100,Keelia,Train,86,3.47
101,Todd,Bike,2,0
102,Gardy,Bus,222,5.55
103,Genevra,Train,366,72.57
104,Kelsi,Walk,11,0
105,Phyllida,E-scooter,497,96.85
106,Vail,Walk,398,0
107,Marielle,Train,499,19.48
108,Lenna,Walk,309,0
109,Gwenni,E-scooter,402,63.1
110,Fonsie,Bike,74,0
111,Arman,Motor Bike,292,39.5
112,Town,Bike,384,0
113,Brittney,Bike,226,0
114,Timmie,Train,217,46.9
115,Wolfie,Car,7,11.85
116,Calley,Train,358,61.86
117,Jordanna,Train,252,57.63
118,Nils,Car,182,17.4
119,Neil,Train,471,81.96
120,Eugene,Car,438,66.45
121,Claresta,Bike,321,0
122,Weidar,Motor Bike,52,1.49
123,Ricca,Motor Bike,118,89.21
124,Coop,Train,8,27.2
125,Gilbert,E-scooter,319,35.49
126,Sterne,Train,388,65.75
127,Louisa,E-scooter,364,19.49
128,Bartram,Bus,172,49.57
129,Corrie,Bus,175,6.86
130,Andrus,Motor Bike,117,33.9
131,Sasha,Walk,56,0
132,Red,Bike,54,0
133,Konstantine,Motor Bike,12,21.62
134,Morrie,Motor Bike,163,16.91
135,Cristina,Train,85,18.55
136,Morse,Bus,200,42.48
137,Kissee,Bike,57,0
138,Thorin,Walk,208,0
139,Jemmie,E-scooter,85,75.37
140,Ursulina,Car,209,25.81
141,Maris,Car,368,80.36
142,Bret,Bike,500,0
143,Peterus,Bike,247,0
144,Hogan,Motor Bike,379,47.64
145,Perrine,Train,76,57.7
146,Jermain,Car,56,76.06
147,Erminia,Bike,160,0
148,Puff,Motor Bike,376,77.1
149,Rikki,Train,114,47.57
150,Shelbi,Car,324,94.86
151,Ardenia,Car,339,76.34
152,Hyacinthie,Motor Bike,128,32.24
153,Jan,Bike,276,0
154,Hortensia,Car,176,92.21
155,Thurstan,Bike,84,0
156,Ginnie,Car,319,7.34
157,Stewart,E-scooter,126,84.74
158,Eloise,Motor Bike,375,67.7
159,Eve,Walk,217,0
160,Mildred,Bike,132,0
161,Dulcie,Bus,353,31.44
162,Juditha,Car,215,3.32
163,Gareth,E-scooter,258,1.53
164,Fredelia,Walk,331,0
165,Charmion,Motor Bike,407,43.21
166,Marylynne,Train,274,25.13
167,Cissiee,Walk,477,0
168,Tracie,Motor Bike,310,89.17
169,Stormy,Train,37,83.69
170,Lindsay,Motor Bike,499,38.64
171,Nestor,Bike,307,0
172,Rosana,Car,207,91.08
173,Deedee,Train,376,72.48
174,Quent,Bike,414,0
175,Beatrisa,Bus,342,92.39
176,Caril,Train,139,57.91
177,Gus,Motor Bike,245,29.63
178,Anna,Train,355,93.52
179,Wallie,Bus,403,89.69
180,Wolfy,E-scooter,413,18.21
181,Merci,E-scooter,494,89.88
182,Cissiee,Bike,476,0
183,Chelsae,Train,388,69.05
184,Doralin,Train,347,45.12
185,Dermot,Bike,55,0
186,Allina,E-scooter,475,26.39
187,Ros,Walk,319,0
188,Barrie,Bike,459,0
189,Alistair,Motor Bike,440,40.25
190,Gardiner,Bike,316,0
191,Robby,Bike,128,0
192,Jarid,Bus,67,12.5
193,Boony,Walk,83,0
194,Ferrell,Bus,306,39.66
195,Ignazio,Walk,209,0
196,Muffin,E-scooter,135,37.94
197,Jaymie,Train,316,56.95
198,Ulrick,Car,493,1.86
199,Wolf,Walk,302,0
200,Rupert,E-scooter,451,35.98
201,Eddie,Walk,164,0
202,Cristobal,Bike,318,0
203,Rafael,E-scooter,30,93.81
204,Cecilio,Walk,335,0
205,Keefe,Car,322,8.5
206,Nathan,Walk,261,0
207,Cordy,Train,92,16.53
208,Clay,Bike,46,0
209,Roma,E-scooter,67,94.36
210,Jaymee,Walk,255,0
211,Vincenty,Car,108,79.23
212,Magdaia,Walk,349,0
213,Yettie,Bike,60,0
214,Hyatt,Motor Bike,356,69.08
215,Guinna,Walk,251,0
216,Corene,Train,457,91.58
217,Elwira,Motor Bike,63,63.47
218,Lexi,Motor Bike,371,84.55
219,Kylila,Motor Bike,406,83.29
220,Cordi,Train,375,13.68
221,Stacia,Train,338,55.54
222,Milicent,Walk,57,0
223,Oneida,Bike,234,0
224,Andrei,Bike,182,0
225,Lane,Walk,298,0
226,Gabriell,E-scooter,252,62.85
227,Daniella,Motor Bike,197,19.31
228,Dasya,Walk,192,0
229,Hort,Train,400,29.61
230,Elnora,Bike,384,0
231,Zulema,Bus,115,70.75
232,Carine,E-scooter,424,2.47
233,Pincus,Bike,264,0
234,Gaylor,Bus,454,14.17
235,Ashley,E-scooter,317,5.65
236,Anatol,Motor Bike,181,97.76
237,Rona,Bus,491,75.75
238,Gilbertina,Walk,39,0
239,Mariam,E-scooter,244,86.73
240,Norean,Train,313,46.72
241,Pattie,Train,41,47.45
242,Delmar,Bus,67,74.79
243,Shay,Train,90,44.99
244,Julissa,Car,248,41.24
245,Wilek,Train,181,40.58
246,Dre,Car,346,85.76
247,Olia,Motor Bike,106,27.42
248,Fey,Bike,384,0
249,Nanny,Bike,13,0
250,Berny,Car,127,17.72
251,Lindsay,Bus,96,0.31
252,Morgana,Walk,461,0
253,Isaak,Motor Bike,375,98.54
254,Mufi,Train,315,47.75
255,Wynnie,Walk,488,0
256,Sheff,Motor Bike,391,18.52
257,Caryl,E-scooter,369,55.49
258,Perren,Car,114,44
259,Dennison,Bike,165,0
260,Rouvin,Train,68,53.31
261,Lynnelle,Car,46,30.9
262,Frieda,Bus,77,79.72
263,Wilie,Motor Bike,279,65.5
264,Beilul,E-scooter,219,23.35
265,Lillis,Bus,146,32.88
266,Marline,Train,178,26.27
267,Brade,Bus,42,60.98
268,Theresita,Train,172,96.7
269,Kevyn,Car,431,52.32
270,Teri,Bus,252,40.94
271,Henrie,Train,101,89.15
272,Sheeree,E-scooter,452,53.91
273,Adelaida,Train,380,92.09
274,Evaleen,Bus,48,30
275,Valerye,Motor Bike,168,54.94
276,Davy,E-scooter,479,58.74
277,Filia,Bus,388,6.32
278,Culver,Bus,315,98.81
279,Christie,Bus,471,23.48
280,Bucky,Train,38,18.52
281,Sybille,Motor Bike,167,68.97
282,Evaleen,Bus,80,47.38
283,Rosa,Bike,70,0
284,Ezmeralda,Motor Bike,480,67.16
285,Pip,Walk,330,0
286,Devon,Walk,258,0
287,Fernande,Walk,443,0
288,Rozina,Walk,47,0
289,Klaus,Walk,3,0
290,Kamilah,Car,387,71.93
291,Tadeas,Walk,155,0
292,Chrisy,Walk,484,0
293,Fianna,Bike,410,0
294,Massimo,Car,313,19.77
295,Hedwiga,E-scooter,18,43.38
296,Louise,Car,484,20.38
297,Marcos,Train,59,66.59
298,Caitrin,Walk,459,0
299,Lyda,Car,13,63.62
300,Pen,Motor Bike,413,63.82
301,Ram,E-scooter,62,86.49
302,Roth,Bike,323,0
303,Juan,Car,37,38.06
304,Lulita,Train,99,98.25
305,Margalit,Walk,223,0
306,Lyle,Walk,259,0
307,Milly,Car,151,54.14
308,Kalvin,Bus,163,43.53
309,Annaliese,Bus,445,27.1
310,Reggis,Motor Bike,27,20.79
311,Gwenni,Motor Bike,0,11.02
312,Galven,Car,150,18.14
313,Jess,Car,302,43.57
314,Fionna,Bike,83,0
315,Lyn,Car,13,28.47
316,Fiorenze,E-scooter,495,69.01
317,Delbert,E-scooter,278,14.08
318,Marina,Bus,167,13.91
319,Vidovic,Car,83,27.51
320,Bernadette,Bike,258,0
321,Giulia,E-scooter,335,94.3
322,Matty,Train,111,71.66
323,Olenolin,Motor Bike,258,7.31
324,Lori,Walk,186,0
325,Winnie,Bike,32,0
326,Ronny,E-scooter,132,38.76
327,Melvyn,Bike,353,0
328,Datha,Car,205,94.79
329,Forster,Bus,436,3.8
330,Moreen,Car,283,18.57
331,Vincenz,Walk,487,0
332,Leilah,Bike,432,0
333,Willie,Walk,403,0
334,Fredek,E-scooter,277,23.26
335,Suzanne,Motor Bike,377,62.57
336,Jehanna,Train,358,54.34
337,Muffin,Car,38,22.96
338,Ellerey,Walk,207,0
339,Almeta,Bus,65,99.91
340,Freddie,E-scooter,58,89.83
341,Jasper,Walk,389,0
342,Cash,Bus,476,73.36
343,Lesly,E-scooter,293,5.32
344,Madalena,E-scooter,10,99.97
345,Brandi,Bus,174,82.48
346,Cori,Bike,40,0
347,Orton,Bike,317,0
348,Debi,E-scooter,155,25.48
349,Ewart,Train,44,81.08
350,Peria,E-scooter,445,81.8
351,Madlen,Bus,195,93.64
352,Juieta,Bus,320,85.43
353,Josepha,Motor Bike,356,79.33
354,Louella,Walk,320,0
355,Cross,Bike,178,0
356,Dacy,Car,485,11.43
357,Catha,E-scooter,195,94.45
358,Saxe,Car,322,53.46
359,Agata,Bike,342,0
360,Yoshi,Car,60,12.97
361,Fabiano,Train,351,34.88
362,Randa,Walk,349,0
363,Linet,Bus,230,92.03
364,Orelie,E-scooter,146,36.89
365,Norah,Bus,254,3.04
366,Lorry,Bike,46,0
367,Cecilius,Car,453,54.33
368,Lynne,Train,483,29.63
369,Sanders,Walk,254,0
370,Josefina,Motor Bike,397,69.35
371,Jordain,Motor Bike,101,44.86
372,Maxwell,Car,136,4.78
373,Saunderson,E-scooter,100,74.8
374,Darlleen,Car,73,43.24
375,Armstrong,Walk,211,0
376,Essy,Motor Bike,102,96.99
377,Pace,Walk,380,0
378,Aubrette,Bus,4,32.92
379,Wendel,Motor Bike,123,18.75
380,Anastasie,Train,382,44.55
381,Blaire,Car,202,23.1
382,Jordanna,Train,181,71.77
383,Sinclare,Train,349,90.41
384,Hyacinthie,Bus,298,64.74
385,Isidor,Train,52,71.94
386,Alisun,Bus,307,95.8
387,Buddie,Motor Bike,261,0.11
388,Gamaliel,Walk,227,0
389,Tom,Car,162,98.95
390,Amber,Car,416,38.77
391,Theresita,Motor Bike,435,55.99
392,Berni,Motor Bike,139,88.09
393,Carr,Train,407,54.67
394,Codi,E-scooter,440,81.56
395,Kate,Train,262,68.39
396,Hobard,Train,198,0.37
397,Riobard,Bus,272,41.23
398,Caroljean,E-scooter,40,15.8
399,Loren,Walk,82,0
400,Christel,E-scooter,418,69.59
401,Hube,E-scooter,164,45.64
402,Wilmette,Walk,340,0
403,Alexis,Walk,72,0
404,Ernaline,Train,493,53.61
405,Cary,Bus,181,85.6
406,Valentine,Bike,479,0
407,Deanna,Motor Bike,81,88.96
408,Isa,Bike,317,0
409,Rockey,Walk,228,0
410,Dorothea,Motor Bike,437,76.73
411,Aloise,Car,425,77.13
412,Horton,Bike,88,0
413,Renelle,Car,168,4.84
414,Matilde,Walk,256,0
415,Courtnay,Motor Bike,273,79.75
416,Cleveland,E-scooter,404,79.18
417,Morie,Motor Bike,10,95.2
418,Phylis,Motor Bike,355,26.96
419,Ruthe,E-scooter,418,88.28
420,Kendra,Walk,214,0
421,Chip,E-scooter,459,92.53
422,Clare,Car,160,85.68
423,Beatrice,Bike,0,0
424,Ricki,Bike,59,0
425,Pate,Car,155,26.85
426,Tamar,Motor Bike,436,95.85
427,Aubree,Walk,263,0
428,Drucill,Walk,335,0
429,Law,Bus,194,73.01
430,Harry,Bus,167,56.4
431,Casey,E-scooter,199,71.16
432,Rowan,Train,177,85.78
433,Aryn,Walk,147,0
434,Tory,Motor Bike,63,69.91
435,Paulie,E-scooter,444,88.64
436,Mireille,E-scooter,75,71.75
437,Mattias,Walk,408,0
438,Elita,Motor Bike,381,37.58
439,Brew,Bus,448,98.12
440,Nicoline,Train,76,86.95
441,Salomon,Bus,185,22.16
442,Briney,E-scooter,123,17.33
443,Janis,E-scooter,170,41.18
444,Minne,Bike,494,0
445,Courtney,Bus,31,56.2
446,Victoria,Motor Bike,208,97.49
447,Franzen,Motor Bike,191,44.44
448,Cozmo,Walk,419,0
449,Robenia,Train,25,66.69
450,Fletcher,Train,389,33.76
451,Dorella,Train,487,86.56
452,Onfre,Train,433,49.41
453,Harwilll,Motor Bike,480,1.04
454,Windy,Bus,269,29.48
455,Kaycee,Car,88,72.08
456,Aurlie,E-scooter,105,44.1
457,Randene,Walk,120,0
458,Josiah,Motor Bike,440,12.8
459,Parrnell,Train,0,16.86
460,Quintana,Bus,161,11.33
461,Carlos,Bus,394,37.61
462,Aland,Bike,152,0
463,Mickie,Car,359,55.95
464,Bartholomeus,Train,1,7.35
465,Lodovico,Car,257,63.69
466,Shaw,Motor Bike,381,67.11
467,Gearard,Bus,115,4.32
468,Derk,Bike,23,0
469,Christoper,Bus,261,98.5
470,Allx,E-scooter,48,51
471,Romonda,Bus,92,99.66
472,Saxe,Bus,178,50.8
473,Dionisio,Train,260,38.37
474,Annabelle,E-scooter,244,77.9
475,Anthia,Bus,19,70.56
476,Blancha,Bike,335,0
477,Annaliese,Motor Bike,140,91.09
478,Hodge,Train,210,26.35
479,Romeo,Bus,4,54.07
480,Mimi,Motor Bike,22,76.27
481,Rodrigo,Bike,285,0
482,Toinette,Train,272,91.72
483,Hale,Walk,93,0
484,Rheba,Bus,282,68.27
485,Davidde,Bike,34,0
486,Kingsley,Bike,18,0
487,Maible,E-scooter,123,18.66
488,Spike,Walk,463,0
489,Pamella,Walk,363,0
490,Peria,Walk,145,0
491,Demetria,Car,87,32.07
492,Magdalene,Bus,102,80.6
493,Ebony,Bike,285,0
494,Jerrome,Train,37,25.44
495,Renae,Train,161,60.65
496,Kristal,Walk,290,0
497,Quintilla,E-scooter,363,76.16
498,Loren,Bus,308,28.75
499,Gregorio,Bike,495,0
500,Jeanne,Train,355,47.48
501,Adria,Motor Bike,325,76.36
502,Conni,Motor Bike,150,10.28
503,Prince,Car,188,51.52
504,Dalston,Walk,264,0
505,Marcello,Bike,380,0
506,Lou,Bike,179,0
507,Isidro,Motor Bike,118,59.16
508,Josy,Bus,178,32.77
509,Malvina,Car,0,44.93
510,Skipp,E-scooter,304,38.59
511,Lorie,Bus,326,30.52
512,Kattie,Motor Bike,483,27.11
513,Minor,Bike,434,0
514,Elspeth,Walk,456,0
515,Johny,Bus,319,93.53
516,Claiborn,Car,34,8.15
517,Ree,E-scooter,0,47.7
518,Luke,Motor Bike,380,94.83
519,Lion,Bike,115,0
520,Alexandros,E-scooter,164,12.69
521,Rochette,Bike,29,0
522,Dinnie,Motor Bike,76,65.98
523,Dacey,Walk,409,0
524,Leigha,Walk,145,0
525,Doralynne,Car,405,5.24
526,Gerardo,Bus,235,78.54
527,Rosco,Car,496,65.62
528,Sandye,Bus,146,23.38
529,Earle,Motor Bike,434,16.61
530,Pru,Bus,303,59.02
531,Roslyn,Bike,220,0
532,Jeanne,Train,169,37.01
533,Shoshana,E-scooter,350,35.36
534,Gabi,Bike,231,0
535,Grange,Car,463,56.84
536,Genevra,Motor Bike,0,30.16
537,Jordan,Walk,207,0
538,Alexandre,Car,53,14.64
539,Gena,Bike,248,0
540,Lorry,Walk,242,0
541,Ivan,Walk,382,0
542,Myrwyn,E-scooter,63,95.79
543,Vincenz,Walk,371,0
544,Kasper,Car,58,42.6
545,Burch,Car,26,54.55
546,Brade,Bus,116,91.14
547,Claus,Motor Bike,83,18.18
548,Letisha,Motor Bike,469,88.56
549,Skell,Train,422,16.92
550,Laurie,Car,380,43.75
551,Evey,Bus,460,67.74
552,Holt,Train,249,19.93
553,Job,Motor Bike,301,74.3
554,Reade,E-scooter,347,35.85
555,Westbrooke,Bike,289,0
556,Justina,Train,88,7.4
557,Huey,Bus,0,20.16
558,Florian,Car,33,96.53
559,Leesa,Bike,275,0
560,Morna,Bus,113,90.46
561,Danna,Bike,35,0
562,Manuel,Motor Bike,180,31.63
563,Avril,Bus,372,51.58
564,Rinaldo,Train,468,37.84
565,Brian,Walk,445,0
566,Nathanil,Walk,373,0
567,Garrard,Train,121,55.76
568,Gilberte,Walk,71,0
569,Samaria,Bike,445,0
570,Diane,Bike,405,0
571,Tracey,Car,228,96.96
572,Appolonia,Bus,415,46.18
573,Bernarr,Bike,409,0
574,Corey,Walk,144,0
575,Maurise,Motor Bike,179,18.72
576,Ricca,Walk,312,0
577,Zahara,Walk,8,0
578,Pall,Motor Bike,490,10.24
579,Leanor,E-scooter,289,27
580,Egan,Motor Bike,53,30.85
